id,name,relationship,relative,relativename
Q10970911,Mahmood Khan Achakzai,father,Q4665715,
Q10970911,Mahmood Khan Achakzai,sibling,Q15983327,
Q10970911,Mahmood Khan Achakzai,sibling,Q16319320,
Q134068,Nawaz Sharif,child,Q33083237,
Q134068,Nawaz Sharif,child,Q33083238,
Q134068,Nawaz Sharif,child,Q6781082,
Q134068,Nawaz Sharif,father,Q1951867,
Q134068,Nawaz Sharif,sibling,Q2096387,
Q134068,Nawaz Sharif,sibling,Q28974227,
Q134068,Nawaz Sharif,spouse,Q15982559,
Q13579848,Pervez Khattak,relative,Q3336226,
Q1521977,Ghulam Noor Rabbani Khar,child,Q254122,
Q1521977,Ghulam Noor Rabbani Khar,sibling,Q1955551,
Q15240778,Raheel Sharif,sibling,Q3694413,
Q1543422,Makhdoom Shah Mahmood Hussain Qureshi,father,Q6799374,
Q155164,Imran Khan,child,Q75540680,
Q155164,Imran Khan,child,Q75540682,
Q155164,Imran Khan,father,Q56772613,
Q155164,Imran Khan,mother,Q56773177,
Q155164,Imran Khan,partner,Q21457945,
Q155164,Imran Khan,partner,Q49202747,
Q155164,Imran Khan,spouse,Q16225960,
Q155164,Imran Khan,spouse,Q468577,
Q155164,Imran Khan,spouse,Q49201649,
Q15715800,Ayesha Gulalai Wazir,sibling,Q6761637,
Q15982559,Kulsoom Nawaz,child,Q33083237,
Q15982559,Kulsoom Nawaz,child,Q33083238,
Q15982559,Kulsoom Nawaz,child,Q6781082,
Q15982559,Kulsoom Nawaz,spouse,Q134068,
Q16145751,Shaykh Muhammad Amin al-Hasanat Shah,father,Q6932566,
Q16207405,Shahzada Iftikhar Uddin,father,Q16104976,
Q16319320,Muhammad Khan Achakzai,father,Q4665715,
Q16319320,Muhammad Khan Achakzai,sibling,Q10970911,
Q16319320,Muhammad Khan Achakzai,sibling,Q15983327,
Q16442103,Maryam Aurangzaib,mother,Q19517992,
Q18764145,Isphanyar M. Bhandara,father,Q6868929,
Q18815877,Syed Mustafa Mahmud,father,Q2164946,
Q18815895,Tahir Bashir Cheema,sibling,Q18815900,
Q18815900,Chaudhary Tariq Bashir Cheema,sibling,Q18815895,
Q18816116,Rajab Ali Khan,spouse,Q56065183,
Q18816140,Malik Ihtebar Khan,father,Q6743564,
Q19517992,Tahira Aurangzeb,child,Q16442103,
Q19662586,Syed Shibli Faraz,father,Q379507,
Q20819559,Hasnain Ali Mirza,father,Q228805,
Q20819559,Hasnain Ali Mirza,mother,Q2371076,
Q2096387,Shehbaz Sharif,child,Q5646510,
Q2096387,Shehbaz Sharif,father,Q1951867,
Q2096387,Shehbaz Sharif,sibling,Q134068,
Q2096387,Shehbaz Sharif,spouse,Q2400398,
Q21229212,Jahangir Khanzada,father,Q20824189,
Q22278582,Khalid Mehmood Soomro,child,Q58440573,
Q2371076,Dr. Fahmida Mirza,child,Q20819559,
Q2371076,Dr. Fahmida Mirza,father,Q7267272,
Q2371076,Dr. Fahmida Mirza,sibling,Q6381086,
Q2371076,Dr. Fahmida Mirza,spouse,Q228805,
Q244338,Bilawal Bhutto Zardari,father,Q57373,
Q244338,Bilawal Bhutto Zardari,mother,Q34413,
Q244338,Bilawal Bhutto Zardari,sibling,Q20643235,
Q254122,Hina Rabbani Khar,father,Q1521977,
Q254122,Hina Rabbani Khar,sibling,Q55956354,
Q254122,Hina Rabbani Khar,spouse,Q96953192,
Q26132883,Murad Ali Shah,father,Q27995800,
Q2621352,Muhammad Ijaz-ul-Haq,father,Q200499,
Q2827449,Ahmad Mukhtar,sibling,Q4695453,
Q2842534,Amir Haider Azam Khan,father,Q6677741,
Q2866576,Ashraf Qazi,mother,Q4308284,
Q3067725,Fazal-ur-Rehman,child,Q55761296,
Q3067725,Fazal-ur-Rehman,child,Q75008447,
Q3067725,Fazal-ur-Rehman,father,Q6932040,
Q3067725,Fazal-ur-Rehman,sibling,Q42722724,
Q3067725,Fazal-ur-Rehman,sibling,Q6792420,
Q3067725,Fazal-ur-Rehman,sibling,Q97707758,
Q314787,Tariq Ali,father,Q6798491,
Q314787,Tariq Ali,mother,Q19800538,
Q316987,Faryal Talpur,sibling,Q57373,
Q31704762,Sardar Hussain,relative,Q72889092,
Q31704762,Sardar Hussain,sibling,Q73516279,
Q334072,Mohammad Sarwar,child,Q478812,
Q337984,Marvi Memon,spouse,Q3155254,
Q35525609,Tariq Bajwa,sibling,Q4806900,
Q39086669,Saadia Abbasi,father,Q33832562,
Q39086669,Saadia Abbasi,sibling,Q7461686,
Q40495,Pervez Musharraf,spouse,Q56153213,
Q42722724,Latuf Ur Rehman,father,Q6932040,
Q42722724,Latuf Ur Rehman,sibling,Q3067725,
Q42722724,Latuf Ur Rehman,sibling,Q6792420,
Q42722724,Latuf Ur Rehman,sibling,Q97707758,
