item,itemLabel,startDate,endDate
Q19661076,Aziz A. Munshi,1999-11-02,2001-09-24
Q15070125,Makhdoom Ali Khan,2001-09-21,2007-08-01
Q6743595,Malik Mohammad Qayyum,2007-08-01,2008-08-19
Q2621764,Latif Khosa,2008-08-21,2009-10-11
,Anwar Mansoor Khan,2009-12-24,2010-04-04
,Maulvi Anwar-ul-Haq,2010-04-21,2012-04-12
,Irfan Qadir,2012-04-12,2013-06-07
Q6936643,Munir A. Malik,2013-06-07,2014-01-14
Q97427145,Salman Aslam Butt,2014-01-16,2016-03-28
Q4805948,Ashtar Ausaf Ali,2016-03-29,2018-06-21
Q55138520,Khalid Jawed Khan,2018-06-22,2018-08-17
,Anwar Mansoor Khan,2018-08-18,2020-02-20
Q55138520,Khalid Jawed Khan,2020-02-22,2022-04-10
,Ashtar Ausaf Ali,2022-05-09,
