item,itemLabel,startDate,endDate,psid
Q134068,Nawaz Sharif,1993-08-06,1998-11-07,Q134068-B15D752E-306F-48C9-B3A4-AF0D9B267199
Q1392127,Malik Ghulam Muhammad,1947-08-15,1951-10-19,Q1392127-F6036B17-1D54-4AD6-BC34-737F39322172
Q223555,Shaukat Aziz,1999-10-12,2007-11-15,Q223555-1497A700-73F9-4BDC-9D1F-204EDC2400D5
Q2821412,Abdul Hafeez Shaikh,2010-03-18,2013-02-19,Q2821412-B3FE4D6A-EF64-49A2-B324-66C53DCC2038
Q2821412,Abdul Hafeez Shaikh,2020-12-11,2021-03-29,Q2821412-F069927A-B097-421D-9FAE-57272792E940
Q283367,Mahbub ul Haq,1985-04-10,1988-01-28,Q283367-13a24fdb-50da-45d2-8f74-1a8bd6c04273
Q284443,Chaudhry Muhammad Ali,1951-10-24,1955-08-11,Q284443-A51BE0BA-047F-40D3-8317-3BE0DC293C3E
Q314776,Ghulam Ishaq Khan,1977-07-05,1985-03-21,Q314776-10A1C41D-ED7C-4C50-986B-4C14653C8CEC
Q4073168,Syed Mohammad Ahsan,1969-04-05,1969-08-03,Q4073168-754f228b-40b7-db4c-2653-3f3562079b52
Q4665360,Abdul Hafiz Pirzada,1977-03-30,1977-07-05,Q4665360-8993bca2-3f0d-443b-9022-a671dca2f8a2
Q4803224,Asad Umer,2018-08-20,2019-04-18,Q4803224-c7090c47-4021-a364-910b-5dc33fe150fb
Q55761250,Hammad Azhar,2021-03-29,2021-04-17,Q55761250-D4F99690-2A63-4A16-A8CF-146A7E037859
Q6930875,Mubashir Hassan,1971-12-24,1974-10-22,Q6930875-9dcbb215-d13f-45ef-ac7d-f813a9625d71
Q7490770,Shaukat Tarin,2008-10-08,2010-02-22,Q7490770-0F3ADA26-B793-41C4-8409-D230503FE592
Q7490770,Shaukat Tarin,2021-04-16,2021-10-17,Q7490770-AAD65AC6-A770-4E47-A9DE-0F82D85A3E39
Q7490770,Shaukat Tarin,2021-12-27,2022-04-03,Q7490770-B74265AB-F80D-43BB-8E70-2CD40D0DC399
Q8168180,Mir Hazar Khan Khoso,2013-04-04,2013-06-04,Q8168180-27155f51-4073-bb54-b344-9a882947984c
