item,itemLabel,startDate,endDate,sourceDate,psid
Q160554,Mohammad Ali Jinnah,1947-08-11,1948-09-11,,Q160554-5ce50c92-44f1-a1a0-3047-e5b49b360b78
Q6792478,Tamizuddin Khan,1948-12-14,1954-10-24,2022-04-27,Q6792478-612A89A6-3097-492B-97E3-CF53D6D9903A
Q4665741,Abdul Wahab Khan,1955-08-12,1958-10-07,2022-04-27,Q4665741-933D56C5-B2A7-4CC7-A05E-8DDB485C8C1A
Q6792478,Tamizuddin Khan,1962-06-11,1963-08-19,2022-04-27,Q6792478-BF666AF6-DD73-44B2-823A-DD22A5157E67
Q5439239,Fazlul Chaudhry,1963-11-29,1965-06-12,2022-04-27,Q5439239-F908369B-E3AE-4BB0-BAF3-DD9EE9DB44BF
Q4665428,Abdul Jabbar Khan,1965-06-12,1969-03-25,2022-04-27,Q4665428-3A71CA08-C56A-49E5-822F-2C8AA5EDAACE
Q131355,Zulfiqar Ali Bhutto,1972-04-14,1972-08-15,,Q131355-25468676-5B2B-4AEE-BDA3-D924D9C20571
Q888063,Fazal Ilahi Chaudhry,1972-08-15,1973-08-13,,Q888063-BA881AE5-EC10-4882-91C0-E75948B664CF
Q7399622,Farooq Ali,1973-08-09,1977-03-27,2022-04-27,Q7399622-E2732DF5-CFB8-48F0-8D71-1B1A2ED5861A
Q982280,Malik Meraj Khalid,1977-03-27,1977-07-05,2022-04-27,Q982280-ED079E75-FAB9-45A5-81CE-E9BFC13F6F83
Q5431517,Syed Fakhar Imam,1985-03-22,1986-03-25,,Q5431517-28846CFC-612D-40E1-AEFE-3D23124364AD
Q5644619,Hamid Nasir,1986-05-31,1988-12-03,2022-04-27,Q5644619-824D43D2-7AA1-4FBD-AB92-327DB7901FCB
Q982280,Malik Meraj Khalid,1988-12-03,1990-11-04,2022-04-27,Q982280-4E26129D-6B13-4A3D-9AA4-1AAB8A28FA53
Q4059060,Gohar Ayub,1990-11-04,1993-10-17,2022-04-27,Q4059060-25ED9E12-EF63-423C-B61D-E72F69F856BE
Q152052,Yousaf Raza Gillani,1993-10-17,1997-02-16,2022-04-27,Q152052-AE91ADBD-2B09-401E-BCF3-8311CC878A8B
Q5353143,Elahi Bux Soomro,1997-02-16,2001-08-20,2022-04-27,Q5353143-DCACE58F-2331-457E-862B-283BF1BD26D8
Q5088094,Amir Hussain,2002-11-19,2008-03-19,2022-04-27,Q5088094-2A3FFB02-C9D6-4A28-9AFD-A9C6D4CFCD7A
Q2371076,Dr. Fahmida Mirza,2008-03-19,2013-06-03,,Q2371076-0F1B6160-9CDD-46A1-8BEF-5A0B00501E54
Q12455771,Ayaz Sadiq,2013-06-03,2015-08-22,2022-04-27,Q12455771-E0C48B2E-2D0D-4A5B-BA69-947456EEF97C
Q15983338,Murtaza Javed Abbasi (Acting),2015-08-24,2015-11-09,2022-04-27,Q15983338-933CF456-F077-4097-A394-D8F19CF89682
Q12455771,Ayaz Sadiq,2015-11-09,2018-08-15,2022-04-27,Q12455771-23E14C1D-FABF-424B-BB3A-DF00EF8CBF5A
Q16734791,Asad Qaiser,2018-08-15,2022-04-10,,Q16734791-6C10A9F9-6ADA-4086-9146-110E763A1DD7
Q17022391,Qasim Suri,2022-04-10,2022-04-16,2022-04-27,Q17022391-4C9C6DE4-2883-4089-A83E-C4754D3D18E3
Q57811,Raja Pervaiz Ashraf,2022-04-16,,2022-04-27,Q57811-2E36A16A-CDC3-45D2-9589-8E537484D158
